CID,Time,Text,Platform,
1.01855586031704E+018,2018-07-15 18:00 +0000,"#SundaySalute — Tell us your branch and when you served. Thank you for your service!

#ArmyStrong at @WestPoint_USMA https://t.co/53J3FIWdJD",Twitter,
1.01833696840768E+018,2018-07-15 03:30 +0000,@ClarinetNow Thanks!,Twitter,
1.01825390621908E+018,2018-07-14 22:00 +0000,"We’re going #LIVE from #TrophyPoint for Kids’ Night in 30 minutes! Join us for Story Time w/ Quintette 7, feat. zany zoo animals, silly singalongs &amp; all your favorite children’s stories set to quirky jazz music. 

Watch here: 
https://t.co/ZXQuwh3e2q https://t.co/khDFqHTJxm",Twitter,
1.0178462451745E+018,2018-07-13 19:00 +0000,"Marching into Kids' Night weekend like...

Don't miss Story Time tomorrow at #TrophyPoint!

🎺  Instrument petting zoo
📖 Classic children's stories w/ exciting music
🎤 Singalongs
🎬 Outdoor screening of Disney's ""Coco""

TOMORROW, 6pm

More info &amp; RSVP: https://t.co/UlyIDpzcza https://t.co/7bpNyj4wxe",Twitter,
1.01748416075425E+018,2018-07-12 19:01 +0000,"#TBT — can you believe it's been less than one week since this amazing evening at #TrophyPoint?

Check out the full photo album on our Flickr page: https://t.co/OuqPlaLnT0

@WestPointParent https://t.co/mXzJp8pAOl",Twitter,
1.01710643320739E+018,2018-07-11 18:00 +0000,"Psst, parents—got a future tubist on your hands? This Sat @ #TrophyPoint, kids can get up close &amp; personal w/ the instruments of the band &amp; even try their faves!

Instrument petting zoo: 6pm. Stories &amp; music: 6:30. Outdoor screening of ""Coco"" post-concert

https://t.co/UlyIDpzcza https://t.co/Lv33KA2brb",Twitter,
1.01682761231909E+018,2018-07-10 23:32 +0000,@enidinthecity Thank you so much! See you next time!,Twitter,
1.01682745174857E+018,2018-07-10 23:32 +0000,@RosalindHanco20 @WestPoint_USMA Thank you for your service!,Twitter,
1.01674402487775E+018,2018-07-10 18:00 +0000,"Searching for an event that's fun, family-friendly &amp; FREE? Look no further—Kids' Night is this Sat!

🎺 Instrument petting zoo
📖 Classic children's stories w/ music
🎤 Interactive singalongs
🎬 Screening of Disney's ""Coco""

6:00pm at #TrophyPoint!

Info: https://t.co/UlyIDpzcza https://t.co/KiP5oFB3NL",Twitter,
1.01636942100112E+018,2018-07-09 17:12 +0000,"Happy 100th birthday to the Warrant Officer Corps—celebrating a century of service, leadership, and expertise. Here's to another 100!

Watch the band's own CW2 Jonathan Crane's birthday shout-out to this unique group of @USArmy #Soldiers. https://t.co/E7kmxLnobG",Twitter,
1.01636659925377E+018,2018-07-09 17:00 +0000,@Loida65377002 @WestPoint_USMA Hooah! Thank you for your service!,Twitter,
1.01636654029441E+018,2018-07-09 17:00 +0000,@USMAGrad70 @WestPoint_USMA Thank you for your service! Go Army!,Twitter,
1.0163337913114E+018,2018-07-09 14:50 +0000,@legionbirdman Thank you for your service! 🇺🇸,Twitter,
1.01633351883677E+018,2018-07-09 14:49 +0000,@LukeGUlrich @WestPoint_USMA @USArmyReserve Thank you for your service! Go Army! 🇺🇸,Twitter,
1.01613640303654E+018,2018-07-09 01:46 +0000,@LewP @WestPoint_USMA Thank you for your service! 🇺🇸,Twitter,
1.01613629987348E+018,2018-07-09 01:45 +0000,"@PamelaR3y1990 @WestPoint_USMA Thank you for your service, Ma’am! 🇺🇸",Twitter,
1.01608862620214E+018,2018-07-08 22:36 +0000,@beeks_gregory @WestPoint_USMA Thank you for your service! 🇺🇸,Twitter,
1.01608850122023E+018,2018-07-08 22:35 +0000,@DerikTimmerman @WestPoint_USMA Thank you for your service 🇺🇸 and go Army!,Twitter,
1.01608831799629E+018,2018-07-08 22:35 +0000,@tvsoundoff We’re so glad to hear that you enjoyed the show. Thanks for sharing the video!,Twitter,
1.01608807546897E+018,2018-07-08 22:34 +0000,@armyconner08 @WestPoint_USMA Thank you for your service! 🇺🇸,Twitter,
1.01608792199108E+018,2018-07-08 22:33 +0000,@Jakavi24 @WestPoint_USMA Thank you for your service 🇺🇸 and your continued contributions to USMA and the Army!,Twitter,
1.01600411033059E+018,2018-07-08 17:00 +0000,"#SundaySalute — Tell us your branch and when you served. Thank you for your service!

#ArmyStrong at @WestPoint_USMA https://t.co/anXKwZ9Pcy",Twitter,
1.01579375046609E+018,2018-07-08 03:04 +0000,"@Commandant_USMA @WestPoint_USMA Great photo! Thanks for sharing, Sir!",Twitter,
1.01573246775875E+018,2018-07-07 23:01 +0000,"Live streaming starts in 15 minutes! 

Tune in on YouTube for our Independence Day Celebration: https://t.co/7osjppqRMr",Twitter,
1.01572366165813E+018,2018-07-07 22:26 +0000,Tonight’s Independence Day Celebration program at #TrophyPoint! https://t.co/kjFv0uwJSj,Twitter,
1.01566154868414E+018,2018-07-07 18:19 +0000,"It’s tonight! Watch our #IndependenceDay Celebration &amp;🎆 fireworks show 🎆 #LIVE from @WestPoint_USMA. Streaming starts 7:15pm on YouTube. 

Watch here: https://t.co/7osjppqRMr

More info here: https://t.co/Fhod5ndFot

@WestPointParent",Twitter,
1.01529439598014E+018,2018-07-06 18:00 +0000,"We're getting pumped for tomorrow's #IndependenceDay Celebration and we hope you are too! 

Here are a couple things to keep in mind as you prepare for the big show: https://t.co/ZHt21MUlcB

See you tomorrow at #TrophyPoint! https://t.co/305PkWfg8U",Twitter,
1.01496226914124E+018,2018-07-05 20:00 +0000,"#DYK you can watch our 7/7 #IndependenceDay Celebration &amp; 🎆 show #LIVE on YouTube?

Just go to our YouTube page⬇, scroll down to Upcoming Live Streams &amp; click ""Set Reminder"" to have a notification sent directly to you when the livestream begins.
https://t.co/QaATrDggmR https://t.co/59hcfYv6zN",Twitter,
